13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/tv_second_line,TextView,@string/b3y
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/switch_config,androidx.appcompat.widget.SwitchCompat,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/click_space,View,N/A
13,layout,layout,4329199,LinearLayout,@id/cl_main_page,androidx.constraintlayout.widget.ConstraintLayout,N/A
13,layout,layout,4329199,LinearLayout,@id/tv_content,TextView,N/A
13,layout,layout,4329199,LinearLayout,@id/frameLayout2,FrameLayout,N/A
13,layout,layout,4329199,LinearLayout,@id/frameLayout3,FrameLayout,N/A
13,layout,layout,4329199,LinearLayout,@id/tv_left,TextView,@string/c3w
13,layout,layout,4329199,LinearLayout,@id/tv_right,sg.bigo.live.widget.alpha.ModifyAlphaTextView,@string/c35
13,layout,layout,4329199,LinearLayout,N/A,TextView,@string/oi
13,layout,layout,4329199,LinearLayout,@id/tv_stay,sg.bigo.live.widget.AutoResizeTextView,@string/oh
13,layout,layout,4329199,LinearLayout,@id/tv_quit,sg.bigo.live.widget.AutoResizeTextView,@string/og
13,layout,layout,4329199,sg.bigo.live.widget.RoundCornerLayout,N/A,androidx.constraintlayout.widget.ConstraintLayout,N/A
13,layout,layout,4329199,sg.bigo.live.widget.RoundCornerLayout,@id/video_mask_view,ImageView,N/A
13,layout,layout,4329199,sg.bigo.live.widget.RoundCornerLayout,@id/title_textview,TextView,@string/dks
13,layout,layout,4329199,sg.bigo.live.widget.RoundCornerLayout,@id/textView3,TextView,@string/dkq
13,layout,layout,4329199,sg.bigo.live.widget.RoundCornerLayout,@id/tv_positive,TextView,@string/dkr
13,layout,layout,4329199,sg.bigo.live.widget.RoundCornerLayout,@id/img_close,androidx.appcompat.widget.AppCompatImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/title,TextView,@string/b5u
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/close,ImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/divider,View,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/tips,TextView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/recycler,androidx.recyclerview.widget.RecyclerView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/content_area,View,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/user_head_icon,com.yy.iheima.image.avatar.YYAvatar,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/iv_question,ImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/iv_host,ImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/tv_nick_name,sg.bigo.live.util.span.FrescoTextViewV2,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/fans_group_nameplate,sg.bigo.live.widget.NameplateView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/tv_btn,sg.bigo.live.util.span.FrescoTextViewV2,@string/bve
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/iv_dash_avatar,ImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/not_multi_room_wear_desc,TextView,@string/bvf
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/iv_all_room_wear_flag,ImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/ic_desc,sg.bigo.live.image.YYNormalImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/title,TextView,@string/b5z
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/content,TextView,@string/b5y
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/divider1,View,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/divider2,View,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/cancel,TextView,@string/di6
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/confirm,TextView,@string/dj_
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/ic_desc,sg.bigo.live.image.YYNormalImageView,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/title,TextView,@string/b62
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/content,TextView,@string/b60
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/cb_not_reminded,CheckBox,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/not_reminded,TextView,@string/b61
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/barrier_not_remind,androidx.constraintlayout.widget.Barrier,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/divider1,View,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/divider2,View,N/A
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/cancel,TextView,@string/di6
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,@id/confirm,TextView,@string/dj_
13,layout,layout,4329199,androidx.constraintlayout.widget.ConstraintLayout,N/A,View,N/A
